R1 10.1.80.1/21
R2 10.1.0.2/21
R3 10.1.16.2/21
R4 10.1.56.2/21
R5 10.1.96.5/21
R6 10.1.96.6/21
R7 10.1.80.2/21
R8 20.1.0.8/19
R9 20.1.0.9/19
R10 10.1.40.2/21
R11 30.1.0.2/17
R12 10.1.48.2/21
R13 10.1.88.2/21
ESW1 10.1.104.2/21
ESW2 10.1.112.2/21
ESW3 10.1.120.2/21
ESW4 10.1.128.2/21
ESW5 10.1.136.2/21
ESW6 10.1.144.2/21
ESW7 50.1.0.2/16
ESW8 20.1.128.2/19
ESW9 20.1.96.2/19
ESW10 20.1.64.2/24
ESW11 40.1.0.2/18
ESW12 40.1.64.2/18
ESW13 40.1.128.2/18
ESW14 10.1.192.2/21
L2SW1 10.1.160.254/21
L2SW2 10.1.168.254/21
L2SW3 10.1.176.254/21
L2SW4 10.1.152.254/21
L2SW5 30.1.128.254/17
