hostname,ansible_host,region,service,os,team,env,ansible_connection,ansible_user,ansible_port,ansible_become,ansible_become_method,ansible_network_os,logstash_host,logstash_port,syslog_host,syslog_port,syslog_proto,timezone,ntp_server,is_block_point,notes
HQ-SOC-ROCKY-01,10.10.0.10,HQ,SOC,Rocky,PURPLE,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Asia/Seoul,10.10.0.1,false,ELK and Ansible control node
ASIA-DB-ROCKY-01,10.10.10.11,ASIA,DB,Rocky,SERVER,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Asia/Seoul,10.10.0.1,false,DB server
ASIA-NGINX-ROCKY-01,10.10.10.12,ASIA,NGINX,Rocky,SERVER,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Asia/Seoul,10.10.0.1,false,Web server nginx
ASIA-MAIL-ROCKY-01,10.10.10.13,ASIA,MAIL,Rocky,SERVER,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Asia/Seoul,10.10.0.1,false,Mail server
ASIA-DNS-ROCKY-01,10.10.10.14,ASIA,DNS,Rocky,NETWORK,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Asia/Seoul,10.10.0.1,false,DNS server
AU-DB-UBUNTU-01,10.10.40.11,AU,DB,Ubuntu,SERVER,EDU,ssh,ubuntu,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Australia/Sydney,10.10.0.1,false,DB server
AU-APACHE-UBUNTU-01,10.10.40.12,AU,APACHE,Ubuntu,SERVER,EDU,ssh,ubuntu,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Australia/Sydney,10.10.0.1,false,Web server apache
AU-MAIL-ROCKY-01,10.10.40.13,AU,MAIL,Rocky,SERVER,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Australia/Sydney,10.10.0.1,false,Mail server
AU-DNS-UBUNTU-01,10.10.40.14,AU,DNS,Ubuntu,NETWORK,EDU,ssh,ubuntu,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Australia/Sydney,10.10.0.1,false,DNS server
EU-DB-ROCKY-01,10.10.20.11,EU,DB,Rocky,SERVER,EDU,ssh,rocky,22,true,sudo,,10.10.0.10,5044,10.10.0.10,5514,tcp,Europe/Berlin,10.10.0.1,false,DB server
